date,Floating %,90 day bank bill rate,6 months %,1 year %,2 years %,3 years %,4 years %,5 years %
2013-03-28,5.76,2.65,5.36,5.37,5.46,5.73,5.99,6.27
2013-04-04,5.76,2.65,5.4,5.35,5.46,5.73,5.99,6.29
2013-04-11,5.76,2.65,5.36,5.37,5.46,5.73,5.99,6.29
2013-04-18,5.76,2.66,5.4,5.35,5.46,5.73,5.99,6.29
2013-04-25,5.76,2.64,5.38,5.25,5.42,5.75,5.99,6.29
2013-05-02,5.76,2.63,5.38,5.25,5.42,5.75,5.99,6.29
2013-05-09,5.76,2.64,5.38,5.22,5.42,5.75,5.99,6.29
2013-05-16,5.76,2.64,5.38,5.24,5.4,5.75,5.99,6.29
2013-05-23,5.76,2.65,5.38,5.23,5.4,5.75,5.99,6.29
2013-05-30,5.76,2.65,5.38,5.17,5.4,5.75,5.99,6.29
2013-06-06,5.76,2.64,5.38,5.17,5.44,5.79,5.99,6.29
2013-06-13,5.76,2.65,5.38,5.13,5.44,5.79,5.99,6.29
2013-06-20,5.76,2.65,5.38,5.16,5.44,5.79,5.99,6.29
2013-06-27,5.76,2.65,5.34,5.21,5.49,5.91,6.1,6.34
2013-07-04,5.76,2.64,5.34,5.21,5.49,5.93,6.11,6.35
2013-07-11,5.76,2.64,5.34,5.21,5.55,5.97,6.16,6.45
2013-07-18,5.76,2.63,5.33,5.22,5.62,6.02,6.24,6.55
2013-07-25,5.76,2.66,5.33,5.22,5.64,6.05,6.28,6.6
2013-08-01,5.76,2.63,5.33,5.22,5.64,6.05,6.28,6.6
2013-08-08,5.76,2.63,5.33,5.22,5.64,6.05,6.28,6.6
2013-08-15,5.76,2.64,5.33,5.22,5.67,6.09,6.29,6.6
2013-08-22,5.76,2.63,5.27,5.23,5.71,6.15,6.41,6.67
2013-08-29,5.76,2.63,5.27,5.25,5.76,6.21,6.47,6.8
2013-09-05,5.76,2.64,5.28,5.23,5.78,6.24,6.54,6.84
2013-09-12,5.76,2.63,5.24,5.22,5.83,6.35,6.74,6.94
2013-09-19,5.76,2.65,5.24,5.27,5.79,6.35,6.74,6.99
2013-09-26,5.78,2.68,5.24,5.27,5.8,6.35,6.74,7.01
2013-10-03,5.78,2.68,5.34,5.28,5.81,6.35,6.78,7.01
2013-10-10,5.78,2.69,5.34,5.27,5.78,6.35,6.78,7.01
2013-10-17,5.78,2.68,5.34,5.27,5.78,6.35,6.78,7.01
2013-10-24,5.78,2.67,5.34,5.27,5.78,6.38,6.78,7.01
2013-10-31,5.78,2.65,5.34,5.27,5.78,6.38,6.78,7.01
2013-11-07,5.78,2.67,5.37,5.31,5.75,6.38,6.78,7.01
2013-11-14,5.78,2.65,5.37,5.31,5.75,6.38,6.78,7.01
2013-11-21,5.78,2.67,5.37,5.31,5.75,6.38,6.78,7.01
2013-11-28,5.78,2.7,5.37,5.22,5.75,6.31,6.78,7.0
2013-12-05,5.78,2.7,5.37,5.22,5.75,6.31,6.78,7.0
2013-12-12,5.78,2.7,5.37,5.22,5.75,6.31,6.78,7.0
2013-12-19,5.78,2.76,5.39,5.31,5.83,6.38,6.8,7.01
2013-12-26,5.78,2.82,5.39,5.42,5.98,6.42,6.86,7.05
2014-01-02,5.78,2.9,5.39,5.42,6.01,6.41,6.86,7.05
2014-01-09,5.78,2.85,5.39,5.45,6.01,6.45,6.88,7.07
2014-01-16,5.78,2.87,5.39,5.46,6.01,6.45,6.88,7.07
2014-01-23,5.78,2.91,5.39,5.45,6.01,6.45,6.88,7.07
2014-01-30,5.78,2.9,5.39,5.45,6.01,6.45,6.88,7.07
2014-02-06,5.78,2.9,5.39,5.45,6.01,6.45,6.88,7.07
2014-02-13,5.78,2.93,5.4,5.45,6.01,6.45,6.88,7.07
2014-02-20,5.78,2.94,5.4,5.46,5.96,6.43,6.88,7.07
2014-02-27,5.78,2.97,5.4,5.47,5.96,6.42,6.88,7.07
2014-03-06,5.78,2.99,5.41,5.49,5.96,6.42,6.88,7.07
2014-03-13,5.78,3.04,5.41,5.53,5.97,6.43,6.88,7.07
2014-03-20,5.9,3.08,5.45,5.63,6.04,6.5,6.94,7.16
2014-03-27,5.96,3.1,5.5,5.71,6.13,6.56,6.97,7.2
2014-04-03,6.01,3.17,5.55,5.74,6.12,6.55,7.04,7.25
2014-04-10,6.01,3.2,5.56,5.76,6.12,6.55,7.08,7.29
2014-04-17,6.01,3.29,5.56,5.76,6.13,6.55,7.08,7.29
2014-04-24,6.01,3.3,5.57,5.78,6.16,6.59,7.09,7.31
2014-05-01,6.05,3.31,5.61,5.82,6.13,6.61,7.04,7.32
2014-05-08,6.14,3.35,5.63,5.84,6.09,6.53,7.01,7.3
2014-05-15,6.21,3.39,5.63,5.84,6.09,6.42,7.01,7.27
2014-05-22,6.21,3.39,5.69,5.87,6.13,6.37,7.01,7.29
2014-05-29,6.23,3.41,5.74,5.87,6.03,6.36,6.95,7.2
2014-06-05,6.23,3.42,5.74,5.87,6.03,6.36,6.95,7.2
2014-06-12,6.23,3.53,5.75,5.88,6.03,6.38,6.92,7.1
2014-06-19,6.33,3.56,5.79,5.94,6.16,6.44,6.87,7.12
2014-06-26,6.4,3.62,5.82,5.98,6.24,6.44,6.9,7.13
2014-07-03,6.42,3.65,5.86,6.0,6.3,6.46,6.87,7.11
2014-07-10,6.42,3.67,5.89,5.99,6.34,6.46,6.85,7.09
2014-07-17,6.42,3.65,5.89,5.98,6.34,6.46,6.85,
2014-07-24,6.42,3.69,5.91,6.01,6.33,6.45,6.82,7.07
2014-07-31,6.45,3.71,5.94,6.03,6.35,6.45,6.82,7.07
2014-08-07,6.64,3.67,5.93,6.06,6.16,6.48,6.82,7.07
2014-08-14,6.7,3.68,5.92,6.05,6.13,6.48,6.82,7.07
2014-08-21,6.7,3.67,5.92,6.06,6.14,6.53,6.81,7.07
2014-08-28,6.7,3.71,5.92,6.06,6.13,6.41,6.81,7.07
2014-09-04,6.72,3.7,5.94,6.06,6.15,6.42,6.8,7.08
2014-09-11,6.72,3.73,5.94,6.06,6.15,6.37,6.8,7.08
2014-09-18,6.72,3.7,5.94,6.04,6.13,6.3,6.73,7.08
2014-09-25,6.72,3.73,5.94,6.04,6.13,6.3,6.73,7.08
2014-10-02,6.72,3.69,5.94,6.04,6.13,6.3,6.71,7.06
2014-10-09,6.72,3.68,5.94,6.04,6.13,6.3,6.71,7.06
2014-10-16,6.72,3.68,5.94,5.95,6.08,6.3,6.68,7.05
2014-10-23,6.72,3.68,5.94,5.93,6.03,6.24,6.68,7.01
2014-10-30,6.72,3.7,5.94,5.89,5.95,6.25,6.68,6.96
2014-11-06,6.72,3.67,5.94,5.85,5.93,6.2,6.71,6.83
2014-11-13,6.72,3.67,5.94,5.85,5.93,6.16,6.56,6.69
2014-11-20,6.72,3.67,5.94,5.84,5.98,6.11,6.56,6.75
2014-11-27,6.72,3.67,5.92,5.81,5.98,6.06,6.46,6.67
2014-12-04,6.72,3.67,5.92,5.81,5.98,6.06,6.46,6.65
2014-12-11,6.72,3.68,5.92,5.81,5.98,6.06,6.43,6.65
2014-12-18,6.72,3.68,5.92,5.82,5.97,6.06,6.43,6.65
2014-12-25,6.72,3.68,5.92,5.82,5.97,6.06,6.43,6.65
2015-01-01,6.72,3.68,5.92,5.82,5.95,6.06,6.43,6.65
2015-01-08,6.72,3.66,5.92,5.82,5.95,6.06,6.43,6.65
2015-01-15,6.72,3.68,5.92,5.82,5.9,5.98,6.43,6.65
2015-01-22,6.72,3.67,5.92,5.81,5.89,5.95,6.38,6.57
2015-01-29,6.72,3.67,5.92,5.81,5.88,5.91,6.38,6.48
2015-02-05,6.72,3.64,5.92,5.8,,5.91,6.38,6.39
2015-02-12,6.72,3.64,5.92,5.8,5.88,5.9,6.37,6.28
2015-02-19,6.72,3.62,5.92,5.74,5.62,5.83,6.19,6.12
2015-02-26,6.72,3.62,5.92,5.74,5.6,5.8,6.19,6.0
2015-03-05,6.69,3.63,5.92,5.74,5.6,5.8,6.19,6.0
2015-03-12,6.69,3.63,5.92,5.74,5.59,5.75,6.15,6.0
2015-03-19,6.69,3.62,5.92,5.74,5.59,5.77,6.15,5.87
2015-03-26,6.69,3.64,5.92,5.74,5.59,5.75,6.13,5.85
2015-04-02,6.69,3.64,5.89,5.72,5.59,5.75,6.04,5.84
2015-04-09,6.69,3.64,5.89,5.73,5.59,5.75,6.04,5.84
2015-04-16,6.69,3.62,5.89,5.73,5.58,5.73,6.04,5.83
2015-04-23,6.69,3.62,5.89,5.73,5.58,5.71,6.06,5.81
2015-04-30,6.69,3.62,5.88,5.73,5.58,5.71,6.06,5.81
2015-05-07,6.69,3.62,5.86,5.72,5.58,5.65,6.02,5.88
2015-05-14,6.69,3.52,5.86,5.71,5.58,5.65,6.02,5.88
2015-05-21,6.69,3.48,5.79,5.58,5.61,5.62,5.82,5.87
2015-05-28,6.69,3.46,5.77,5.58,5.61,5.62,5.82,5.87
2015-06-04,6.69,3.48,5.77,5.57,5.62,5.62,5.82,5.87
2015-06-11,6.6,3.3,5.77,5.57,5.62,5.62,5.82,5.87
2015-06-18,6.49,3.23,5.72,5.48,5.47,5.61,5.75,5.87
2015-06-25,6.49,3.24,5.68,5.34,5.31,5.55,5.69,5.9
2015-07-02,6.49,3.22,5.67,5.32,5.28,5.54,5.69,5.9
2015-07-09,6.49,3.17,5.67,5.29,5.28,5.54,5.69,5.9
2015-07-16,6.46,3.07,5.6,5.16,5.24,5.52,5.68,5.9
2015-07-23,6.33,3.05,5.6,5.15,5.22,5.5,5.67,5.89
2015-07-30,6.26,3.1,5.58,5.12,5.17,5.44,5.62,5.87
2015-08-06,6.26,3.01,5.57,5.06,5.12,5.36,5.59,5.86
2015-08-13,6.26,2.94,5.48,4.96,5.11,5.27,5.47,5.79
2015-08-20,6.26,2.91,5.48,4.96,5.11,5.27,5.47,5.79
2015-08-27,6.23,2.9,5.47,4.93,5.08,5.25,5.44,5.78
2015-09-03,6.23,2.89,5.46,4.91,5.08,5.25,5.44,5.78
2015-09-10,6.06,2.85,5.46,4.86,5.05,5.22,5.41,5.74
2015-09-17,6.06,2.84,5.43,4.83,5.02,5.18,5.34,5.69
2015-09-24,6.04,2.84,5.38,4.8,4.97,5.17,5.28,5.65
2015-10-01,6.04,2.84,5.29,4.73,4.91,5.12,5.28,5.6
2015-10-08,6.04,2.83,5.29,4.73,4.89,5.12,5.28,5.6
2015-10-14,6.04,2.85,5.25,4.66,4.84,5.14,5.23,5.56
2015-10-22,6.04,2.85,5.25,4.63,4.83,5.14,5.2,5.52
2015-10-29,6.04,2.96,5.25,4.63,4.82,5.14,5.2,5.52
2015-11-05,6.04,2.91,5.23,4.63,4.84,5.1,5.19,5.5
2015-11-12,6.04,2.9,5.23,4.63,4.84,5.1,5.19,5.5
2015-11-19,6.04,2.87,5.23,4.58,4.79,5.06,5.19,5.5
2015-11-26,6.04,2.84,5.23,4.62,4.84,5.08,5.18,5.52
2015-12-03,6.04,2.88,5.23,4.62,4.81,5.08,5.18,5.52
2015-12-10,5.94,2.74,5.21,4.62,4.81,5.08,5.18,5.52
2015-12-17,5.92,2.76,5.21,4.62,4.8,5.08,5.18,5.52
2015-12-24,5.9,2.74,5.18,4.62,4.78,5.13,5.22,5.57
2015-12-31,5.84,2.76,5.04,4.46,4.57,4.88,5.22,5.3
2016-01-07,5.84,2.73,5.04,4.46,4.57,4.88,5.22,5.3
2016-01-14,5.8,2.73,5.04,4.46,4.58,4.89,5.22,5.3
2016-01-21,5.8,2.72,5.01,4.49,4.57,4.89,5.22,5.3
2016-01-28,5.8,2.7,5.01,4.49,4.57,4.88,5.22,5.3
2016-02-04,5.8,2.67,5.01,4.49,4.57,4.88,5.22,5.3
2016-02-11,5.8,2.6,5.01,4.49,4.57,4.88,5.22,5.3
2016-02-18,5.8,2.6,5.01,4.49,4.57,4.88,5.22,5.3
2016-02-25,5.78,2.57,4.97,4.47,4.54,4.84,5.2,5.3
2016-03-03,5.78,2.57,4.97,4.47,4.54,4.79,5.18,5.28
2016-03-10,5.7,2.39,4.95,4.43,4.53,4.76,5.11,5.23
2016-03-17,5.63,2.35,4.95,4.43,4.51,4.75,5.09,5.22
2016-03-24,5.63,2.33,4.94,4.39,4.47,4.74,5.06,5.18
2016-03-31,5.63,2.33,4.94,4.37,4.47,4.74,5.06,5.18
2016-04-07,5.63,2.32,4.94,4.35,4.47,4.74,5.06,5.18
2016-04-14,5.63,2.33,4.94,4.35,4.46,4.74,5.06,5.18
2016-04-21,5.63,2.32,4.94,4.35,4.45,4.74,5.06,5.18
2016-04-28,5.63,2.4,4.94,4.35,4.45,4.74,5.06,5.18
2016-05-05,5.63,2.39,4.94,4.37,4.42,4.74,5.06,5.18
2016-05-12,5.63,2.35,4.94,4.37,4.38,4.74,5.06,5.18
2016-05-19,5.63,2.37,4.94,4.36,4.34,4.69,5.02,5.15
2016-05-26,5.63,2.39,4.85,4.35,4.35,4.68,4.97,5.09
2016-06-02,5.63,2.4,4.85,4.35,4.35,4.68,4.97,5.09
2016-06-09,5.63,2.42,4.85,4.33,4.36,4.68,4.97,5.09
2016-06-16,5.64,2.34,4.85,4.38,4.41,4.68,4.97,5.06
2016-06-23,5.64,2.35,4.81,4.38,4.41,4.68,4.97,5.06
2016-06-30,5.65,2.42,4.81,4.38,4.42,4.69,4.97,5.06
2016-07-07,5.66,2.42,4.81,4.38,4.44,4.65,4.96,5.03
2016-07-14,5.65,2.37,4.81,4.38,4.44,4.66,4.97,5.03
2016-07-21,5.65,2.31,4.81,4.38,4.44,4.66,4.97,5.03
2016-07-28,5.65,2.28,4.81,4.38,4.44,4.66,4.97,5.03
2016-08-04,5.65,2.25,4.81,4.39,4.44,4.64,4.97,5.03
2016-08-11,5.63,2.23,4.81,4.39,4.44,4.64,4.97,5.03
2016-08-18,5.6,2.22,4.81,4.39,4.42,4.64,4.97,5.03
2016-08-25,5.59,2.23,4.82,4.4,4.43,4.65,4.97,5.03
2016-09-01,5.59,2.23,4.82,4.4,4.43,4.65,4.97,5.03
2016-09-08,5.59,2.23,4.82,4.4,4.43,4.65,4.97,5.03
2016-09-15,5.59,2.24,4.82,4.4,4.42,4.65,4.97,5.03
2016-09-22,5.59,2.24,4.82,4.4,4.42,4.65,4.97,5.03
2016-09-29,5.59,2.2,4.82,4.4,4.42,4.65,4.97,5.03
2016-10-06,5.59,2.18,4.83,4.41,4.45,4.65,4.97,5.03
2016-10-13,5.59,2.14,4.83,4.41,4.45,4.65,4.97,5.03
2016-10-20,5.59,2.12,4.83,4.42,4.45,4.66,4.97,5.03
2016-10-27,5.59,2.12,4.84,4.44,4.49,4.68,4.97,5.03
2016-11-03,5.59,2.13,4.84,4.44,4.49,4.71,5.0,5.08
2016-11-10,5.59,2.08,4.84,4.44,4.5,4.69,5.0,5.08
2016-11-17,5.59,2.05,4.84,4.43,4.5,4.73,5.03,5.12
2016-11-24,5.58,2.03,4.87,4.43,4.5,4.72,5.05,5.13
2016-12-01,5.6,2.04,4.87,4.43,4.54,4.78,5.11,5.22
2016-12-08,5.6,2.04,4.87,4.43,4.55,4.82,5.14,5.28
2016-12-15,5.6,2.04,4.87,4.43,4.55,4.82,5.14,5.28
2016-12-22,5.6,2.04,4.87,4.43,4.55,4.82,5.14,5.28
2016-12-29,5.6,2.0,4.87,4.43,4.58,4.83,5.24,5.35
2017-01-05,5.56,1.98,4.85,4.44,4.52,4.82,5.27,5.39
2017-01-12,5.58,1.98,4.95,4.44,4.69,5.04,5.49,5.61
2017-01-19,5.58,1.97,4.95,4.44,4.69,5.04,5.49,5.61
2017-01-26,5.62,1.98,4.99,4.48,4.75,5.1,5.53,5.65
2017-02-02,5.62,2.01,4.99,4.51,4.77,5.14,5.57,5.67
2017-02-09,5.62,2.03,4.99,4.52,4.78,5.17,5.58,5.71
2017-02-16,5.62,2.03,4.99,4.52,4.79,5.18,5.58,5.71
2017-02-23,5.62,1.99,4.99,4.52,4.79,5.2,5.61,5.74
2017-03-02,5.66,2.0,5.02,4.52,4.79,5.22,5.63,5.76
2017-03-09,5.69,1.96,5.04,4.54,4.8,5.22,5.65,5.79
2017-03-16,5.7,1.96,5.05,4.56,4.8,5.23,5.67,5.82
2017-03-23,5.7,1.95,5.05,4.57,4.8,5.23,5.67,5.82
2017-03-30,5.74,2.0,5.05,4.57,4.8,5.23,5.67,5.82
2017-04-06,5.75,2.0,5.05,4.57,4.8,5.23,5.67,5.82
2017-04-13,5.75,1.96,5.05,4.57,4.8,5.23,5.67,5.82
2017-04-20,5.75,1.96,5.05,4.57,4.8,5.23,5.67,5.82
2017-04-27,5.75,1.97,5.05,4.56,4.8,5.23,5.67,5.82
2017-05-04,5.75,1.98,5.05,4.56,4.8,5.23,5.67,5.82
2017-05-11,5.77,1.98,5.05,4.55,4.8,5.24,5.72,5.86
2017-05-18,5.78,1.97,5.05,4.55,4.79,5.24,5.72,5.86
2017-05-25,5.78,1.97,5.05,4.55,4.79,5.24,5.72,5.86
2017-06-01,5.78,1.95,5.05,4.55,4.79,5.24,5.72,5.86
2017-06-08,5.78,1.94,5.05,4.55,4.79,5.24,5.72,5.86
2017-06-15,5.81,1.94,5.05,4.55,4.77,5.24,5.72,5.86
2017-06-22,5.81,1.95,5.05,4.55,4.77,5.24,5.72,5.86
2017-06-29,5.81,1.98,5.05,4.55,4.77,5.24,5.72,5.86
2017-07-06,5.81,1.97,5.06,4.55,4.79,5.24,5.75,5.9
2017-07-13,5.81,1.94,5.06,4.55,4.79,5.24,5.75,5.9
2017-07-20,5.81,1.94,5.06,4.55,4.79,5.24,5.75,5.9
2017-07-27,5.81,1.93,5.06,4.55,4.79,5.24,5.75,5.9
2017-08-03,5.83,1.95,5.06,4.55,4.82,5.22,5.74,5.89
2017-08-10,5.83,1.95,5.06,4.55,4.82,5.2,5.74,5.89
2017-08-17,5.83,1.95,5.06,4.55,4.79,5.19,5.72,5.89
2017-08-24,5.83,1.94,5.06,4.55,4.77,5.19,5.72,5.89
2017-08-31,5.83,1.96,5.06,4.55,4.74,5.17,5.71,5.88
2017-09-07,5.83,1.94,5.06,4.56,4.72,5.17,5.7,5.87
2017-09-14,5.83,1.94,5.06,4.56,4.73,5.17,5.7,5.87
2017-09-21,5.83,1.93,5.06,4.56,4.7,5.1,5.7,5.87
2017-09-28,5.83,1.94,5.06,4.56,4.7,5.1,5.7,5.87
2017-10-05,5.83,1.95,5.06,4.56,4.7,5.08,5.7,5.87
2017-10-12,5.83,1.93,5.06,4.56,4.7,5.08,5.7,5.87
2017-10-19,5.83,1.94,5.06,4.56,4.7,5.08,5.7,5.87
2017-10-26,5.83,1.94,5.06,4.56,4.7,5.03,5.7,5.84
2017-11-02,5.83,1.94,5.06,4.56,4.7,5.03,5.7,5.84
2017-11-09,5.83,1.94,5.06,4.56,4.7,5.03,5.7,5.84
2017-11-16,5.83,1.92,5.06,4.56,4.69,5.01,5.7,5.82
2017-11-23,5.83,1.92,5.06,4.56,4.69,5.01,5.7,5.82
2017-11-30,5.83,1.91,5.0,4.49,4.63,4.95,5.63,5.76
2017-12-07,5.83,1.9,5.0,4.5,4.62,4.94,5.6,5.73
2017-12-14,5.83,1.89,5.0,4.48,4.61,4.94,5.6,5.73
2017-12-21,5.83,1.86,5.0,4.48,4.61,4.94,5.6,5.73
2017-12-28,5.83,1.86,5.0,4.48,4.61,4.94,5.6,5.73
2018-01-04,5.8,1.88,5.0,4.48,4.61,4.94,5.6,5.73
2018-01-11,5.8,1.87,5.0,4.48,4.61,4.94,5.6,5.73
2018-01-18,5.8,1.88,5.0,4.48,4.61,4.94,5.6,5.73
2018-01-25,5.8,1.88,5.0,4.45,4.62,4.94,5.6,5.73
2018-02-01,5.8,1.89,5.0,4.45,4.62,4.94,5.6,5.73
2018-02-08,5.8,1.89,5.0,4.42,4.62,4.94,5.6,5.73
2018-02-15,5.8,1.9,5.0,4.37,4.59,4.95,5.6,5.73
2018-02-22,5.8,1.92,5.0,4.36,4.58,4.95,5.6,5.72
2018-03-01,5.8,1.91,5.0,4.36,4.55,4.95,5.6,5.72
2018-03-08,5.8,1.9,5.0,4.36,4.51,4.95,5.6,5.72
2018-03-15,5.8,1.91,5.0,4.36,4.51,4.95,5.6,5.72
2018-03-22,5.8,1.96,5.0,4.35,4.53,4.95,5.6,5.72
2018-03-29,5.8,1.97,5.0,4.35,4.52,4.95,5.6,5.72
2018-04-05,5.8,1.97,5.0,4.33,4.54,4.95,5.6,5.72
2018-04-12,5.8,2.03,5.0,4.33,4.54,4.95,5.6,5.72
2018-04-19,5.8,2.06,5.0,4.32,4.51,4.94,5.55,5.69
2018-04-26,5.81,2.04,5.0,4.32,4.55,4.94,5.55,5.69
2018-05-03,5.81,2.03,5.0,4.33,4.53,4.94,5.55,5.69
2018-05-10,5.81,2.05,5.0,4.33,4.52,4.91,5.55,5.69
2018-05-17,5.82,2.0,5.0,4.32,4.51,4.91,5.55,5.69
2018-05-24,5.82,2.0,5.0,4.32,4.51,4.91,5.55,5.69
2018-05-31,5.82,2.01,5.0,4.32,4.51,4.91,5.55,5.69
2018-06-07,5.82,2.0,5.0,4.33,4.5,4.91,5.55,5.69
2018-06-14,5.82,2.0,5.0,4.31,4.49,4.91,5.55,5.69
2018-06-21,5.82,2.0,5.0,4.3,4.48,4.89,5.55,5.67
2018-06-28,5.82,2.0,5.0,4.26,4.46,4.85,5.55,5.67
2018-07-05,5.82,1.98,5.0,4.26,4.46,4.85,5.55,5.67
2018-07-12,5.82,1.94,5.0,4.25,4.46,4.85,5.55,5.67
2018-07-19,5.82,1.92,5.0,4.25,4.46,4.85,5.55,5.67
2018-07-26,5.82,1.91,5.0,4.25,4.46,4.85,5.55,5.67
2018-08-02,5.82,1.91,5.0,4.25,4.46,4.85,5.55,5.67
2018-08-09,5.82,1.91,5.0,4.22,4.45,4.83,5.47,5.63
2018-08-16,5.82,1.9,5.0,4.2,4.43,4.83,5.47,5.56
2018-08-23,5.82,1.91,5.0,4.2,4.43,4.83,5.47,5.56
2018-08-30,5.82,1.91,5.0,4.2,4.43,4.83,5.47,5.56
2018-09-06,5.82,1.9,5.0,4.2,4.43,4.79,5.47,5.51
2018-09-13,5.82,1.89,4.96,4.17,4.35,4.62,5.25,5.34
2018-09-20,5.82,1.91,4.93,4.16,4.34,4.58,5.21,5.3
2018-09-27,5.82,1.91,4.93,4.17,4.29,4.5,5.12,5.19
2018-10-04,5.82,1.91,4.93,4.15,4.29,4.5,5.12,5.19
2018-10-11,5.82,1.91,4.9,4.15,4.28,4.5,5.09,5.17
2018-10-18,5.82,1.89,4.9,4.14,4.23,4.5,5.09,5.17
2018-10-25,5.82,1.89,4.9,4.14,4.23,4.5,5.09,5.17
2018-11-01,5.82,1.91,4.9,4.14,4.23,4.5,5.09,5.16
2018-11-08,5.82,1.99,4.9,4.09,4.23,4.5,5.09,5.16
2018-11-15,5.82,2.01,4.9,4.02,4.2,4.51,5.09,5.16
